C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_57_178.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_57_178.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_57_178.jpg, 0, 0, 0, 8.191536E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_57_279.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_57_279.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_57_279.jpg, 0, 0, 0, 7.783413E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_57_382.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_57_382.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_57_382.jpg, 0, 0, 0, 8.027884E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_57_484.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_57_484.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_57_484.jpg, 0, 0, 0, 7.797289E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_57_585.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_57_585.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_57_585.jpg, 0, 0, 0, 7.879836E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_57_688.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_57_688.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_57_688.jpg, 0, 0, 0, 7.814111E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_57_788.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_57_788.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_57_788.jpg, 0, 0, 0, 8.108023E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_57_890.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_57_890.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_57_890.jpg, 0, 0, 0, 7.881477E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_57_994.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_57_994.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_57_994.jpg, 0, 0, 0, 8.02615E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_58_098.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_58_098.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_58_098.jpg, 0, 0, 0, 7.790132E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_58_199.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_58_199.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_58_199.jpg, 0, 0, 0, 7.952487E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_58_301.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_58_301.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_58_301.jpg, 0, 0, 0, 8.107843E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_58_402.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_58_402.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_58_402.jpg, 0, 0, 0, 8.225809E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_58_505.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_58_505.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_58_505.jpg, 0, 0, 0, 7.827122E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_58_608.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_58_608.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_58_608.jpg, 0, 0, 0, 7.831128E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_58_711.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_58_711.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_58_711.jpg, 0, 0, 0, 7.822258E-05
C:\Users\jayke\Downloads\autonomous_car_training\IMG\center_2020_12_27_11_11_58_812.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\left_2020_12_27_11_11_58_812.jpg, C:\Users\jayke\Downloads\autonomous_car_training\IMG\right_2020_12_27_11_11_58_812.jpg, 0, 0, 0, 7.800921E-05
